date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:37	125/125	---MC-	200	added ('OK')	text/plain	date:Sat,%2004%20Nov%202023%2016:42:37%20GMT	https://www.arcelonutrifoods.com/robots.txt		(from )
22:12:39	225459/225459	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2016:42:37%20GMT	https://www.arcelonutrifoods.com/	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/index.html	(from )
22:12:40	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2016:42:40%20GMT	http://gmpg.org/xfn/11	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/gmpg.org/xfn/11.html	(from https://www.arcelonutrifoods.com/)
22:12:40	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Nov%202023%2016:42:40%20GMT	http://fonts.googleapis.com/	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/fonts.googleapis.com/index.html	(from https://www.arcelonutrifoods.com/)
22:12:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Nov%202023%2016:42:41%20GMT	http://s.w.org/	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/s.w.org/index.html	(from https://www.arcelonutrifoods.com/)
22:12:40	38444/38444	---M--	200	added ('OK')	font/woff2	date:Fri,%2013%20May%202022%2016:58:02%20GMT	https://www.arcelonutrifoods.com/wp-content/themes/freshio/assets/fonts/freshio-icon.woff2	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/wp-content/themes/freshio/assets/fonts/freshio-icon.woff2	(from https://www.arcelonutrifoods.com/)
22:12:41	28152/28152	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2015%20Jul%202022%2006:40:10%20GMT	https://www.arcelonutrifoods.com/feed/	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/feed/index.html	(from https://www.arcelonutrifoods.com/)
22:12:41	104484/104484	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2005:13:47%20GMT	https://www.arcelonutrifoods.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/wp-includes/css/dist/block-library/style.mine35d.css	(from https://www.arcelonutrifoods.com/)
22:12:42	4933/4933	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2008:37:44%20GMT	https://www.arcelonutrifoods.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.6.2	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style4ae6.css	(from https://www.arcelonutrifoods.com/)
22:12:42	7914/7914	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2004%20Aug%202023%2001:32:45%20GMT	https://www.arcelonutrifoods.com/comments/feed/	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/comments/feed/index.html	(from https://www.arcelonutrifoods.com/)
22:12:43	211622/211622	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2008:37:44%20GMT	https://www.arcelonutrifoods.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.6.2	E:/Arcelo%20Peanutbutter/Arcelo%20Peanutbutter/www.arcelonutrifoods.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style4ae6.css	(from https://www.arcelonutrifoods.com/)
